stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,monsoon_months
36,740,,TELANGANA,Sangareddy,Gummadidala,6277,691,36,78.37306896,17.68831109,17.5,78.5,17.75,78.25,17.7,78.4,"[6,7,8]"
36,740,,TELANGANA,Sangareddy,Ameenpur,6276,691,36,78.31460241,17.54300691,17.5,78.5,17.5,78.25,17.5,78.3,"[6,7,8]"
36,742,4518,TELANGANA,Medchal Malkajgiri,Qutballapur,4518,700,36,78.44231166,17.51936932,17.5,78.5,17.5,78.5,17.5,78.4,"[6,7,8]"
36,742,,TELANGANA,Medchal Malkajgiri,Bachupally,6315,700,36,78.37668549,17.52998542,17.5,78.5,17.5,78.5,17.5,78.4,"[6,7,8]"
36,742,4521,TELANGANA,Medchal Malkajgiri,Malkajgiri,4521,700,36,78.53631896,17.46860999,17.5,78.5,17.5,78.5,17.5,78.5,"[6,7,8]"
36,742,,TELANGANA,Medchal Malkajgiri,Medipally,6318,700,36,78.60037181,17.41822622,17.5,78.5,17.5,78.5,17.4,78.6,"[6,7,8]"
36,742,,TELANGANA,Medchal Malkajgiri,Kapra,6317,700,36,78.57953048,17.49183863,17.5,78.5,17.5,78.5,17.5,78.6,"[6,7,8]"
36,742,4517,TELANGANA,Medchal Malkajgiri,Balanagar,4517,700,36,78.4441123,17.4616279,17.5,78.5,17.5,78.5,17.5,78.4,"[6,7,8]"
36,537,4525,TELANGANA,Ranga Reddy,Hayathnagar,4525,518,36,78.61051797,17.33607221,17.5,78.5,17.25,78.5,17.3,78.6,"[6,7,8]"
36,537,,TELANGANA,Ranga Reddy,Balapur,6323,518,36,78.5433224,17.34271304,17.5,78.5,17.25,78.5,17.3,78.5,"[6,7,8]"
36,536,4507,TELANGANA,Hyderabad,Golconda,4507,507,36,78.4129353,17.37574903,17.5,78.5,17.5,78.5,17.4,78.4,"[6,7,8]"
36,537,4527,TELANGANA,Ranga Reddy,Rajendranagar,4527,518,36,78.41969206,17.32177236,17.5,78.5,17.25,78.5,17.3,78.4,"[6,7,8]"
36,740,4491,TELANGANA,Sangareddy,Kondapur,4491,691,36,78.01521596,17.53772533,17.5,78,17.5,78,17.5,78,"[6,7,8]"
36,743,4532,TELANGANA,Vikarabad,Bantwaram,4532,698,36,77.69337719,17.43784237,17.5,77.5,17.5,77.75,17.4,77.7,"[6,7,8]"
36,740,,TELANGANA,Sangareddy,Mogudampally,6278,691,36,77.50381247,17.61918781,17.5,77.5,17.5,77.5,17.6,77.5,"[6,7,8]"
36,537,,TELANGANA,Ranga Reddy,JILLED CHOWDERGUDEM,6322,518,36,77.98434798,17.05879414,17,78,17,78,17.1,78,"[6,7,8]"
36,538,,TELANGANA,Mahabubnagar,Rajapur,6261,512,36,78.16095856,16.88089074,17,78,17,78.25,16.9,78.2,"[6,7,8]"
36,537,4560,TELANGANA,Ranga Reddy,Kothur,4560,518,36,78.28812879,17.13431272,17,78.5,17.25,78.25,17.1,78.3,"[6,7,8]"
36,537,4563,TELANGANA,Ranga Reddy,Amangal,4563,518,36,78.55610096,16.85782034,17,78.5,16.75,78.5,16.9,78.6,"[6,7,8]"
36,538,,TELANGANA,Mahabubnagar,Urkonda,6295,512,36,78.40062841,16.72835311,16.5,78.5,16.75,78.5,16.7,78.4,"[6,7,8]"
36,746,,TELANGANA,Nagarkurnool,Charakonda,6293,694,36,78.67015739,16.69881411,16.5,78.5,16.75,78.75,16.7,78.7,"[6,7,8]"
36,539,,TELANGANA,Nalgonda,Kondamallepally,6307,514,36,78.98683507,16.69536571,16.5,79,16.75,79,16.7,79,"[6,7,8]"
36,539,,TELANGANA,Nalgonda,Neredugommu,6308,514,36,79.03569797,16.56764281,16.5,79,16.5,79,16.6,79,"[6,7,8]"
36,539,4658,TELANGANA,Nalgonda,Pedda Adesherlapally,4658,514,36,79.13811946,16.62895299,16.5,79,16.75,79.25,16.6,79.1,"[6,7,8]"
36,748,4671,TELANGANA,Suryapet,MellaChervu,4671,696,36,79.95338055,16.8257819,17,80,16.75,80,16.8,80,"[6,7,8]"
36,748,4665,TELANGANA,Suryapet,Nereducherla,4665,696,36,79.66989767,16.90783807,17,79.5,17,79.75,16.9,79.7,"[6,7,8]"
36,748,,TELANGANA,Suryapet,Ananthagiri,6302,696,36,79.97393869,17.05592992,17,80,17,80,17.1,80,"[6,7,8]"
36,751,,TELANGANA,Mahabubabad,Danthalapalle,6255,688,36,79.725551,17.47942677,17.5,79.5,17.5,79.75,17.5,79.7,"[6,7,8]"
36,751,,TELANGANA,Mahabubabad,Chinnagudur,6254,688,36,79.89648968,17.48901948,17.5,80,17.5,80,17.5,79.9,"[6,7,8]"
36,753,4738,TELANGANA,Bhadradri Kothagudem,Kothagudem,4738,690,36,80.62573039,17.54696683,17.5,80.5,17.5,80.75,17.5,80.6,"[6,7,8]"
36,753,,TELANGANA,Bhadradri Kothagudem,Sujathanagar,6265,690,36,80.51863743,17.48728311,17.5,80.5,17.5,80.5,17.5,80.5,"[6,7,8]"
36,753,,TELANGANA,Bhadradri Kothagudem,Chunchupalli,6376,690,36,80.65620691,17.47389901,17.5,80.5,17.5,80.75,17.5,80.7,"[6,7,8]"
36,753,4747,TELANGANA,Bhadradri Kothagudem,Chandrugonda,4747,690,36,80.62870337,17.39002185,17.5,80.5,17.5,80.75,17.4,80.6,"[6,7,8]"
36,539,,TELANGANA,Nalgonda,Adavidevulapalli,6304,514,36,79.49172369,16.66819964,16.5,79.5,16.75,79.5,16.7,79.5,"[6,7,8]"
36,539,,TELANGANA,Nalgonda,Tirumalagiri Sagar,6306,514,36,79.36478719,16.67102136,16.5,79.5,16.75,79.25,16.7,79.4,"[6,7,8]"
36,539,,TELANGANA,Nalgonda,Madugulapally,6305,514,36,79.46786779,16.98876954,17,79.5,17,79.5,17,79.5,"[6,7,8]"
36,752,,TELANGANA,Jangoan,Peddavangara,6256,689,36,79.55995874,17.56395174,17.5,79.5,17.5,79.5,17.6,79.6,"[6,7,8]"
36,748,,TELANGANA,Suryapet,Nagaram,6298,696,36,79.48427034,17.40322235,17.5,79.5,17.5,79.5,17.4,79.5,"[6,7,8]"
36,748,,TELANGANA,Suryapet,Maddirala,6300,696,36,79.71451046,17.39762244,17.5,79.5,17.5,79.75,17.4,79.7,"[6,7,8]"
36,747,,TELANGANA,Yadadri Bhuvanagiri,Adda Guduru,6310,697,36,79.37321391,17.40206296,17.5,79.5,17.5,79.25,17.4,79.4,"[6,7,8]"
36,747,,TELANGANA,Yadadri Bhuvanagiri,Motakonduru,6309,697,36,79.07490477,17.53865818,17.5,79,17.5,79,17.5,79.1,"[6,7,8]"
36,741,,TELANGANA,Siddipet,Komuravelli,6284,692,36,78.89194767,17.92224392,18,79,18,79,17.9,78.9,"[6,7,8]"
36,752,,TELANGANA,Jangoan,Chilpur,6259,689,36,79.30962402,17.91502329,18,79.5,18,79.25,17.9,79.3,"[6,7,8]"
36,746,4598,TELANGANA,Nagarkurnool,Lingal,4598,694,36,78.51004662,16.2739976,16.5,78.5,16.25,78.5,16.3,78.5,"[6,7,8]"
36,746,,TELANGANA,Nagarkurnool,Padara,6294,694,36,79.06377534,16.33548957,16.5,79,16.25,79,16.3,79.1,"[6,7,8]"
36,746,4578,TELANGANA,Nagarkurnool,Amrabad,4578,694,36,78.77895599,16.24128357,16,79,16.25,78.75,16.2,78.8,"[6,7,8]"
36,746,,TELANGANA,Nagarkurnool,Pentlavelli,6292,694,36,78.263007,16.05247567,16,78.5,16,78.25,16.1,78.3,"[6,7,8]"
36,745,4608,TELANGANA,Wanaparthy,Weepangandla,4608,693,36,78.13621458,16.13734499,16,78,16.25,78.25,16.1,78.1,"[6,7,8]"
36,745,,TELANGANA,Wanaparthy,Srirangapur,6288,693,36,78.03794962,16.19491515,16,78,16.25,78,16.2,78,"[6,7,8]"
36,744,,TELANGANA,Jogulamba Gadwal,Undavelly,6299,695,36,78.0167858,15.95200945,16,78,16,78,16,78,"[6,7,8]"
36,744,,TELANGANA,Jogulamba Gadwal,Rajoli,6296,695,36,77.74758587,15.91095225,16,77.5,16,77.75,15.9,77.7,"[6,7,8]"
36,745,4596,TELANGANA,Wanaparthy,Gopalpeta,4596,693,36,78.15041806,16.39192572,16.5,78,16.5,78.25,16.4,78.2,"[6,7,8]"
36,745,,TELANGANA,Wanaparthy,Madanapur,6289,693,36,77.88320737,16.38428874,16.5,78,16.5,78,16.4,77.9,"[6,7,8]"
36,745,,TELANGANA,Wanaparthy,Amarchintha,6290,693,36,77.73903907,16.37609455,16.5,77.5,16.5,77.75,16.4,77.7,"[6,7,8]"
36,744,,TELANGANA,Jogulamba Gadwal,Kaloor Thimmandoddi,6297,695,36,77.54780775,16.22118442,16,77.5,16.25,77.5,16.2,77.5,"[6,7,8]"
36,781,,TELANGANA,Narayanpet,Krishna,6264,721,36,77.35494553,16.43074731,16.5,77.5,16.5,77.25,16.4,77.4,"[6,7,8]"
36,781,,TELANGANA,Narayanpet,Marikal,6263,721,36,77.73010684,16.58877714,16.5,77.5,16.5,77.75,16.6,77.7,"[6,7,8]"
36,538,4586,TELANGANA,Mahabubnagar,Addakal,4586,512,36,77.93875572,16.53865873,16.5,78,16.5,78,16.5,77.9,"[6,7,8]"
36,538,4568,TELANGANA,Mahabubnagar,Mahabubnagar Urban,4568,512,36,78.01793988,16.75464463,17,78,16.75,78,16.8,78,"[6,7,8]"
36,751,,TELANGANA,Mahabubabad,Gangaram,6253,688,36,80.21519206,17.88696048,18,80,18,80.25,17.9,80.2,"[6,7,8]"
36,753,,TELANGANA,Bhadradri Kothagudem,Allapalli,6267,690,36,80.51926336,17.89344833,18,80.5,18,80.5,17.9,80.5,"[6,7,8]"
36,753,,TELANGANA,Bhadradri Kothagudem,Karakagudem,6269,690,36,80.55759021,18.00205886,18,80.5,18,80.5,18,80.6,"[6,7,8]"
36,733,,TELANGANA,Kumuram Bheem Asifabad,Chintalamanepally,6314,699,36,79.85931037,19.46278939,19.5,80,19.5,79.75,19.5,79.9,"[6,7,8]"
36,733,,TELANGANA,Kumuram Bheem Asifabad,Penchicalpet,6313,699,36,79.82627489,19.27555063,19.5,80,19.25,79.75,19.3,79.8,"[6,7,8]"
36,735,4328,TELANGANA,Mancherial,Bheemini,4328,684,36,79.60015165,19.1978044,19,79.5,19.25,79.5,19.2,79.6,"[6,7,8]"
36,749,,TELANGANA,Hanumakonda,Inavole,6249,686,36,79.54740301,17.86273104,18,79.5,17.75,79.5,17.9,79.5,"[6,7,8]"
14,274,,MANIPUR,Churachandpur,SAMULAMLAN,6505,254,14,93.69455065,24.47216228,24.5,93.5,24.5,93.75,24.5,93.7,"[6,7,8]"
20,354,,JHARKHAND,Dhanbad,EGARKUND,6201,325,20,86.78620606,23.76377573,24,87,23.75,86.75,23.8,86.8,"[6,7,8]"
20,358,,JHARKHAND,Palamu,RAMGARH,6325,338,20,83.95061349,23.94689634,24,84,24,84,23.9,84,"[6,7,8]"
34,635,5911,PUDUCHERRY,Pondicherry,Villianur Taluk,5911,600,34,79.69799137,11.95105823,12,79.5,12,79.75,12,79.7,"[10,11,12]"
34,635,5912,PUDUCHERRY,Pondicherry,Bahour Taluk,5912,600,34,79.71963349,11.83172528,12,79.5,11.75,79.75,11.8,79.7,"[10,11,12]"
18,320,2115,ASSAM,Chirang,Bijni (Pt),2115,612,18,90.75452677,26.45818243,26.5,91,26.5,90.75,26.5,90.8,"[6,7,8]"
37,806,4930,ANDHRA PRADESH,Kakinada,Thallarevu,4930,746,28,82.26828289,16.80535818,17,82.5,16.75,82.25,16.8,82.3,"[6,7,8]"
24,480,3848,GUJARAT,Amreli,Jafrabad,3848,439,24,71.31542573,20.90547752,21,71.5,21,71.25,20.9,71.3,"[6,7,8]"
20,352,2566,JHARKHAND,Sahebganj,Borio,2566,340,20,87.60976713,25.08132134,25,87.5,25,87.5,25.1,87.6,"[6,7,8]"
37,814,5352,ANDHRA PRADESH,Sri Sathya Sai,Gudibanda,5352,754,28,77.11638996,13.9682046,14,77,14,77,14,77.1,"[10,11,12]"
1,15,61,JAMMU & KASHMIR,Kulgam,D H PORA,61,622,1,74.76446791,33.58010251,33.5,75,33.5,74.75,33.6,74.8,"[6,7,8]"
3,41,227,PUNJAB,Ludhiana,Ludhiana (East),227,36,3,75.95108371,30.8646626,31,76,30.75,76,30.9,76,"[6,7,8]"
3,41,228,PUNJAB,Ludhiana,Ludhiana (West),228,36,3,75.78021702,30.87548192,31,76,31,75.75,30.9,75.8,"[6,7,8]"
3,51,263,PUNJAB,Rupnagar,Nangal,263,42,3,76.37623201,31.32242757,31.5,76.5,31.25,76.5,31.3,76.4,"[6,7,8]"
3,51,262,PUNJAB,Rupnagar,Anandpur Sahib,262,42,3,76.48575628,31.17168416,31,76.5,31.25,76.5,31.2,76.5,"[6,7,8]"
5,64,332,UTTARAKHAND,Almora,Jainti,332,45,5,79.78452007,29.49048867,29.5,80,29.5,79.75,29.5,79.8,"[6,7,8]"
5,64,330,UTTARAKHAND,Almora,Almora,330,45,5,79.70433195,29.64113596,29.5,79.5,29.75,79.75,29.6,79.7,"[6,7,8]"
27,521,4194,MAHARASHTRA,Pune,Pune City,4194,490,27,73.88111757,18.53337294,18.5,74,18.5,74,18.5,73.9,"[6,7,8]"
27,521,4193,MAHARASHTRA,Pune,Haveli,4193,490,27,73.91953692,18.51443141,18.5,74,18.5,74,18.5,73.9,"[6,7,8]"
27,531,4299,MAHARASHTRA,Sangli,Khanapur,4299,493,27,74.60283449,17.28319962,17.5,74.5,17.25,74.5,17.3,74.6,"[6,7,8]"
27,517,4169,MAHARASHTRA,Thane,Ulhasnagar,4169,497,27,73.18394951,19.20068748,19,73,19.25,73.25,19.2,73.2,"[6,7,8]"
27,517,4170,MAHARASHTRA,Thane,Ambarnath,4170,497,27,73.25092512,19.14886347,19,73.5,19.25,73.25,19.1,73.3,"[6,7,8]"
10,203,1013,BIHAR,Pashchim Champaran,Sidhaw,1013,211,10,84.04498488,27.29258636,27.5,84,27.25,84,27.3,84,"[6,7,8]"
10,203,1014,BIHAR,Pashchim Champaran,Ramnagar,1014,211,10,84.24761545,27.3093474,27.5,84,27.25,84.25,27.3,84.2,"[6,7,8]"
10,203,1015,BIHAR,Pashchim Champaran,Gaunaha,1015,211,10,84.47830428,27.27755037,27.5,84.5,27.25,84.5,27.3,84.5,"[6,7,8]"
10,203,1016,BIHAR,Pashchim Champaran,Mainatanr,1016,211,10,84.62660705,27.16123035,27,84.5,27.25,84.75,27.2,84.6,"[6,7,8]"
10,203,1017,BIHAR,Pashchim Champaran,Narkatiaganj,1017,211,10,84.48077871,27.10098177,27,84.5,27,84.5,27.1,84.5,"[6,7,8]"
10,203,1018,BIHAR,Pashchim Champaran,Lauriya,1018,211,10,84.425853,27.00335458,27,84.5,27,84.5,27,84.4,"[6,7,8]"
10,203,1019,BIHAR,Pashchim Champaran,Bagaha,1019,211,10,84.21553416,27.06856755,27,84,27,84.25,27.1,84.2,"[6,7,8]"
10,203,1021,BIHAR,Pashchim Champaran,Madhubani,1021,211,10,84.0779705,27.02093886,27,84,27,84,27,84.1,"[6,7,8]"
10,203,1022,BIHAR,Pashchim Champaran,Bhitaha,1022,211,10,84.19086292,26.91094664,27,84,27,84.25,26.9,84.2,"[6,7,8]"
10,203,1023,BIHAR,Pashchim Champaran,Thakrahan,1023,211,10,84.2918577,26.8118395,27,84.5,26.75,84.25,26.8,84.3,"[6,7,8]"
10,203,1024,BIHAR,Pashchim Champaran,Jogapatti,1024,211,10,84.35689608,26.90034525,27,84.5,27,84.25,26.9,84.4,"[6,7,8]"
10,203,1025,BIHAR,Pashchim Champaran,Chanpatia,1025,211,10,84.513025,26.89680892,27,84.5,27,84.5,26.9,84.5,"[6,7,8]"
10,203,1026,BIHAR,Pashchim Champaran,Sikta,1026,211,10,84.65664578,26.9738984,27,84.5,27,84.75,27,84.7,"[6,7,8]"
10,203,1027,BIHAR,Pashchim Champaran,Majhaulia,1027,211,10,84.64584229,26.79388769,27,84.5,26.75,84.75,26.8,84.6,"[6,7,8]"
10,203,1028,BIHAR,Pashchim Champaran,Bettiah,1028,211,10,84.55348946,26.79036313,27,84.5,26.75,84.5,26.8,84.6,"[6,7,8]"
10,203,1029,BIHAR,Pashchim Champaran,Bairia,1029,211,10,84.41112323,26.74871053,26.5,84.5,26.75,84.5,26.7,84.4,"[6,7,8]"
10,203,1030,BIHAR,Pashchim Champaran,Nautan,1030,211,10,84.50540697,26.68641772,26.5,84.5,26.75,84.5,26.7,84.5,"[6,7,8]"
10,204,1031,BIHAR,Purbi Champaran,Raxaul,1031,213,10,84.79037253,26.96039436,27,85,27,84.75,27,84.8,"[6,7,8]"
10,204,1032,BIHAR,Purbi Champaran,Adapur,1032,213,10,84.92198519,26.90385487,27,85,27,85,26.9,84.9,"[6,7,8]"
10,204,1033,BIHAR,Purbi Champaran,Ramgarhwa,1033,213,10,84.78427267,26.87649601,27,85,27,84.75,26.9,84.8,"[6,7,8]"
10,204,1034,BIHAR,Purbi Champaran,Sugauli,1034,213,10,84.77387118,26.75669149,27,85,26.75,84.75,26.8,84.8,"[6,7,8]"
10,204,1035,BIHAR,Purbi Champaran,Banjaria,1035,213,10,84.87246761,26.73117514,26.5,85,26.75,84.75,26.7,84.9,"[6,7,8]"
10,204,1036,BIHAR,Purbi Champaran,Narkatia,1036,213,10,84.96601268,26.82318732,27,85,26.75,85,26.8,85,"[6,7,8]"
10,204,1037,BIHAR,Purbi Champaran,Bankatwa,1037,213,10,85.06331057,26.80989828,27,85,26.75,85,26.8,85.1,"[6,7,8]"
10,204,1038,BIHAR,Purbi Champaran,Ghorasahan,1038,213,10,85.133153,26.80567786,27,85,26.75,85.25,26.8,85.1,"[6,7,8]"
10,204,1039,BIHAR,Purbi Champaran,Dhaka,1039,213,10,85.20113025,26.69966158,26.5,85,26.75,85.25,26.7,85.2,"[6,7,8]"
10,204,1040,BIHAR,Purbi Champaran,Chiraia,1040,213,10,85.07705675,26.68443615,26.5,85,26.75,85,26.7,85.1,"[6,7,8]"
10,204,1041,BIHAR,Purbi Champaran,Motihari,1041,213,10,84.9675714,26.65067108,26.5,85,26.75,85,26.7,85,"[6,7,8]"
10,204,1042,BIHAR,Purbi Champaran,Turkaulia,1042,213,10,84.83177958,26.62427827,26.5,85,26.5,84.75,26.6,84.8,"[6,7,8]"
10,204,1043,BIHAR,Purbi Champaran,Harsidhi,1043,213,10,84.72199313,26.61473888,26.5,84.5,26.5,84.75,26.6,84.7,"[6,7,8]"
10,204,1044,BIHAR,Purbi Champaran,Paharpur,1044,213,10,84.60585746,26.6286265,26.5,84.5,26.75,84.5,26.6,84.6,"[6,7,8]"
10,204,1045,BIHAR,Purbi Champaran,Areraj,1045,213,10,84.5986632,26.52667688,26.5,84.5,26.5,84.5,26.5,84.6,"[6,7,8]"
10,204,1046,BIHAR,Purbi Champaran,Sangrampur,1046,213,10,84.72981903,26.46742236,26.5,84.5,26.5,84.75,26.5,84.7,"[6,7,8]"
10,204,1047,BIHAR,Purbi Champaran,Kesaria,1047,213,10,84.82755702,26.35743084,26.5,85,26.25,84.75,26.4,84.8,"[6,7,8]"
10,204,1048,BIHAR,Purbi Champaran,Kalyanpur,1048,213,10,84.94875761,26.39552548,26.5,85,26.5,85,26.4,84.9,"[6,7,8]"
10,204,1049,BIHAR,Purbi Champaran,Kotwa,1049,213,10,84.83319425,26.50447984,26.5,85,26.5,84.75,26.5,84.8,"[6,7,8]"
10,204,1050,BIHAR,Purbi Champaran,Piprakothi,1050,213,10,84.9186065,26.56500316,26.5,85,26.5,85,26.6,84.9,"[6,7,8]"
10,204,1051,BIHAR,Purbi Champaran,Chakia(Pipra),1051,213,10,84.99434674,26.47732816,26.5,85,26.5,85,26.5,85,"[6,7,8]"
10,204,1052,BIHAR,Purbi Champaran,Pakri Dayal,1052,213,10,85.0867878,26.54921427,26.5,85,26.5,85,26.5,85.1,"[6,7,8]"
10,204,1053,BIHAR,Purbi Champaran,Patahi,1053,213,10,85.18840392,26.58562667,26.5,85,26.5,85.25,26.6,85.2,"[6,7,8]"
